census_tract,county,race_ethnicity,action_taken,rate_spread
13135050623,Gwinnett,Hispanic,1,0.094
13067030365,Cobb,Asian,1,-0.79
13089023114,DeKalb,Unknown or other,1,0.062
13135050465,Gwinnett,Unknown or other,3,
13057091013,Cherokee,Hispanic,1,-0.304
13117130614,Forsyth,White,1,-0.436
13067031213,Cobb,Black,1,-0.002
13135050580,Gwinnett,Unknown or other,1,-0.813
13067031122,Cobb,Hispanic,1,-0.316
13121009501,Fulton,White,1,0.39
13063040418,Clayton,Asian,1,0.213
13067031115,Cobb,White,1,0.14
13063040519,Clayton,Black,1,0.284
13067030104,Cobb,Unknown or other,1,-0.845
13057091106,Cherokee,White,1,0.061
13067030111,Cobb,Black,1,-0.178
13135050425,Gwinnett,White,1,0.142
13057090907,Cherokee,White,1,0.521
13121011421,Fulton,White,1,-0.567
13117130615,Forsyth,Asian,1,-0.981
13135050719,Gwinnett,White,1,-0.354
13067030337,Cobb,Unknown or other,1,-0.565
13121008301,Fulton,Black,1,-2.99
13135050565,Gwinnett,Unknown or other,3,
13121010315,Fulton,Black,1,-0.146
13121001205,Fulton,Hispanic,1,-0.54
13117130205,Forsyth,Unknown or other,1,-0.787
13057090202,Cherokee,White,1,0.039
13089023212,DeKalb,Black,1,-0.441
13067031116,Cobb,Black,1,-0.58
13089023214,DeKalb,Black,1,-0.342
13117130302,Forsyth,White,1,-0.747
13121010007,Fulton,Asian,1,-0.598
13067030275,Cobb,Unknown or other,1,-0.146
13089021819,DeKalb,White,1,0.628
13067031315,Cobb,Unknown or other,3,
13135050244,Gwinnett,White,3,
13135050521,Gwinnett,White,3,
13067030250,Cobb,White,1,-0.207
13151070209,Henry,Black,1,0.15
13151070307,Henry,Black,3,
13121001102,Fulton,White,3,
13121011429,Fulton,White,1,-0.022
13135050715,Gwinnett,White,1,0.361
13121010220,Fulton,White,1,-0.2
13067031122,Cobb,Unknown or other,1,0.18
13067030412,Cobb,Asian,1,-0.573
13121010129,Fulton,Asian,3,
13135050121,Gwinnett,Asian,1,-0.738
13089021819,DeKalb,Black,1,-0.899
13057091013,Cherokee,Asian,1,-0.696
13121010107,Fulton,White,3,
13135050752,Gwinnett,White,1,1.671
13067030347,Cobb,Hispanic,3,
13067030110,Cobb,Unknown or other,1,-0.382
13063040606,Clayton,Black,1,0.686
13097080403,Douglas,Unknown or other,1,0.86
13121011637,Fulton,White,1,0.933
13247060104,Rockdale,White,1,0.361
13067030111,Cobb,Unknown or other,1,1.178
13135050110,Gwinnett,Black,1,0.027
13067030343,Cobb,White,1,1.146
13067030256,Cobb,Unknown or other,1,0.618
13121011436,Fulton,White,1,0.384
13135050455,Gwinnett,Black,1,0.319
13057091105,Cherokee,Asian,1,0.669
13121000700,Fulton,Black,1,0.508
13057091105,Cherokee,Asian,1,0.37
13121005504,Fulton,Black,1,-0.326
13057090808,Cherokee,Asian,1,0.528
13057091105,Cherokee,Asian,1,1.291
13121005504,Fulton,White,1,-0.408
13121005504,Fulton,White,1,-0.419
13063040518,Clayton,Black,1,0.819
13067030407,Cobb,Unknown or other,1,0.43
13135050742,Gwinnett,Asian,1,-0.712
13135050623,Gwinnett,Black,1,0.054
13135050461,Gwinnett,Asian,1,-0.424
13135050735,Gwinnett,Asian,3,
13135050234,Gwinnett,Asian,1,
13135050425,Gwinnett,Asian,1,
13135050232,Gwinnett,Asian,1,-0.016
13135050112,Gwinnett,Asian,1,-0.285
13067031410,Cobb,White,1,0.319
13067031221,Cobb,Black,1,-0.138
13067030603,Cobb,Asian,1,0.657
13067030366,Cobb,Unknown or other,1,-0.879
13135050744,Gwinnett,Asian,1,
13097080406,Douglas,Unknown or other,1,0.465
13057090906,Cherokee,Asian,1,-0.343
13151070405,Henry,White,1,-0.639
13113140206,Fayette,White,1,-0.449
13057091105,Cherokee,Asian,1,0.096
13113140403,Fayette,Unknown or other,1,-0.48
13117130414,Forsyth,Asian,1,-0.274
13117130304,Forsyth,Unknown or other,1,-0.501
13113140309,Fayette,Asian,1,
13117130414,Forsyth,Asian,1,
13117130306,Forsyth,Asian,3,
13057091011,Cherokee,Asian,1,-0.488
13057090506,Cherokee,Unknown or other,1,-0.72
13057090103,Cherokee,Asian,1,-0.924
13117130607,Forsyth,Asian,1,
13067030267,Cobb,Black,3,
13121008602,Fulton,Unknown or other,1,0.151
13057090808,Cherokee,Unknown or other,1,-0.576
13057091105,Cherokee,Hispanic,1,0.437
13057090506,Cherokee,White,1,-0.186
13057091105,Cherokee,Asian,1,-0.298
13057090506,Cherokee,White,1,0.798
13057091105,Cherokee,Black,1,1.102
13121008602,Fulton,Unknown or other,1,-0.219
13135050120,Gwinnett,White,1,-0.352
13057090808,Cherokee,White,1,0.16
13057091105,Cherokee,Black,1,1.118
13057090808,Cherokee,Asian,1,0.353
13057091105,Cherokee,White,1,0.502
13121008602,Fulton,Black,1,0.25
13057090808,Cherokee,Asian,1,-0.282
13121008602,Fulton,Unknown or other,1,0.726
13057091105,Cherokee,Hispanic,1,0.388
13135050611,Gwinnett,Asian,1,-0.53
13089022001,DeKalb,White,1,0.352
13057091105,Cherokee,Unknown or other,1,0.576
13057091105,Cherokee,White,1,0.044
13121005501,Fulton,White,1,0.405
13057090808,Cherokee,Unknown or other,1,1.394
13057090506,Cherokee,White,1,0.51
13057091105,Cherokee,Unknown or other,1,0.595
13121005504,Fulton,Hispanic,1,1.138
13057091105,Cherokee,White,1,-0.499
13135050611,Gwinnett,Asian,1,-0.439
13121005501,Fulton,Black,1,0.737
13057090808,Cherokee,White,1,-0.33
13135050611,Gwinnett,Asian,1,0.247
13057091105,Cherokee,Unknown or other,1,0.528
13121005504,Fulton,White,1,0.8
13057090808,Cherokee,Unknown or other,1,0.297
13057091105,Cherokee,White,1,0.669
13057091105,Cherokee,Hispanic,1,0.344
13057091105,Cherokee,White,1,0
13067030331,Cobb,Asian,1,0.401
13121008601,Fulton,Unknown or other,1,-0.053
13057090808,Cherokee,Hispanic,1,0.082
13135050611,Gwinnett,Asian,1,1.374
13135050611,Gwinnett,Unknown or other,1,0.723
13057090808,Cherokee,Asian,1,-0.422
13057091105,Cherokee,Black,1,0.309
13121005300,Fulton,White,1,0.244
13057091105,Cherokee,White,1,-0.518
13121005501,Fulton,Unknown or other,1,-0.068
13135050611,Gwinnett,Unknown or other,1,0.616
13121008601,Fulton,Hispanic,1,0.588
13121005501,Fulton,Unknown or other,1,0.926
13057090808,Cherokee,White,1,0.935
13057090808,Cherokee,Asian,1,-0.008
13057091105,Cherokee,White,1,-0.025
13089023437,DeKalb,Black,1,0.474
13057091105,Cherokee,Unknown or other,1,-0.047
13057091105,Cherokee,Asian,1,-0.421
13057091105,Cherokee,White,1,-0.244
13057091105,Cherokee,Black,1,0.289
13121006400,Fulton,White,1,-0.174
13121008602,Fulton,White,1,0.007
13057091105,Cherokee,Unknown or other,1,-0.327
13121008602,Fulton,White,1,0.535
13057091105,Cherokee,Asian,1,0.223
13135050611,Gwinnett,Asian,1,0.13
13121008602,Fulton,Black,1,-0.188
13057091105,Cherokee,Asian,1,1.954
13121005501,Fulton,Black,1,0.16
13057091105,Cherokee,Asian,1,0.423
13135050611,Gwinnett,Unknown or other,1,0.677
13067030259,Cobb,White,1,0.136
13067030240,Cobb,White,1,0.57
13067031315,Cobb,Black,1,-0.062
13117130203,Forsyth,White,1,-0.219
13067030268,Cobb,White,1,-0.522
13067031005,Cobb,Black,1,1.025
13151070508,Henry,Black,1,0.999
13135050752,Gwinnett,Black,1,0.836
13135050635,Gwinnett,Black,1,1.62
13121011204,Fulton,Asian,1,0.666
13151070405,Henry,Unknown or other,1,0.737
13089023315,DeKalb,Black,1,0.573
13151070408,Henry,White,1,1.006
13135050336,Gwinnett,Black,3,
13121007806,Fulton,White,3,
13151070215,Henry,White,1,0.208
13097080405,Douglas,Unknown or other,1,0.448
13089023327,DeKalb,Unknown or other,1,0.092
13067030334,Cobb,Asian,1,-0.298
13151070211,Henry,Black,3,
13063040614,Clayton,White,1,0.279
13067030408,Cobb,White,1,-0.352
13089021230,DeKalb,Unknown or other,1,0.007
13089021228,DeKalb,Hispanic,1,0.532
13089021416,DeKalb,White,1,-0.194
13097080514,Douglas,Black,1,1.136
13089021224,DeKalb,White,1,-0.251
13089023803,DeKalb,Unknown or other,1,0.626
13135050617,Gwinnett,White,1,0.328
13117130409,Forsyth,Asian,1,0.384
13067031117,Cobb,Black,1,1.062
13097080203,Douglas,Black,1,0.619
13067031512,Cobb,Black,1,0.5
13121007806,Fulton,Unknown or other,3,
13063040627,Clayton,White,1,2.431
13247060204,Rockdale,Black,1,1.174
13121000201,Fulton,White,1,2.06
13063040427,Clayton,Black,1,0.966
13121010126,Fulton,Asian,1,0.846
13089021917,DeKalb,Unknown or other,1,1.197
13089023504,DeKalb,White,1,-0.345
13121010802,Fulton,Unknown or other,1,0.299
13151070316,Henry,Unknown or other,1,0.881
13063040308,Clayton,Black,3,
13121011100,Fulton,Hispanic,1,-0.144
13067031417,Cobb,White,1,0.225
13089023327,DeKalb,Hispanic,1,0.701
13135050465,Gwinnett,Black,1,1.551
13089023803,DeKalb,White,1,0.887
13151070117,Henry,Black,1,1.916
13089022205,DeKalb,Black,1,0.869
13067030603,Cobb,Asian,1,1.572
13089023329,DeKalb,White,1,1.017
13089020600,DeKalb,White,1,0.357
13121001902,Fulton,Unknown or other,3,
13089021910,DeKalb,Black,3,
13135050315,Gwinnett,Black,3,
13151070211,Henry,Black,1,0.922
13089023101,DeKalb,White,1,1.166
13097080608,Douglas,Black,1,1.378
13063040627,Clayton,Unknown or other,1,1.903
13135050750,Gwinnett,Unknown or other,1,1.306
13121011441,Fulton,Black,1,0.899
13117130615,Forsyth,Hispanic,1,0.345
13121008602,Fulton,Black,1,0.175
13063040535,Clayton,Unknown or other,3,
13089023317,DeKalb,Black,1,1.59
13121006200,Fulton,Black,1,0.531
13135050736,Gwinnett,Unknown or other,1,-0.996
13089023209,DeKalb,Unknown or other,1,3.396
13121010518,Fulton,Black,1,1.315
13121006701,Fulton,Unknown or other,3,
13089023328,DeKalb,Black,3,
13135050738,Gwinnett,White,1,0.318
13057090710,Cherokee,White,1,2.223
13089023803,DeKalb,Black,1,1.142
13151070206,Henry,Black,1,1.699
13247060204,Rockdale,Black,1,0.715
13067031323,Cobb,Unknown or other,1,2.14
13121001206,Fulton,White,1,-0.073
13057090910,Cherokee,White,1,0.026
13121011436,Fulton,Asian,1,-0.046
13089023425,DeKalb,Black,1,-0.032
13089023433,DeKalb,Black,1,
13089023102,DeKalb,Asian,1,-0.341
13089021914,DeKalb,Unknown or other,1,0.927
13089021823,DeKalb,White,1,-0.47
13089021405,DeKalb,White,1,
13089021710,DeKalb,Hispanic,1,-0.518
13089021410,DeKalb,Hispanic,1,-0.099
13089021211,DeKalb,Unknown or other,1,-0.352
13135050626,Gwinnett,Unknown or other,1,1.863
13121008104,Fulton,Unknown or other,3,
13121009504,Fulton,Black,3,
13121003000,Fulton,Unknown or other,3,
13057091101,Cherokee,Unknown or other,1,-0.318
13121008907,Fulton,Unknown or other,1,-0.045
13117130304,Forsyth,Unknown or other,1,-0.555
13057091105,Cherokee,White,1,-0.31
13135050115,Gwinnett,White,1,0.688
13089021417,DeKalb,Black,1,-0.667
13121001206,Fulton,Asian,1,-1.197
13151070412,Henry,Unknown or other,1,0.504
13135050240,Gwinnett,Black,1,-0.539
13247060316,Rockdale,Hispanic,1,0.006
13121011419,Fulton,White,1,0.652
13089023701,DeKalb,White,1,-0.03
13089023429,DeKalb,Black,1,1.509
13057091014,Cherokee,Unknown or other,1,-0.015
13121007200,Fulton,Black,1,0.383
13063040536,Clayton,Black,1,0.482
13121007711,Fulton,Black,1,0.179
13089021405,DeKalb,White,1,-0.883
13135050530,Gwinnett,Hispanic,1,2.799
13089023437,DeKalb,Hispanic,1,-0.051
13247060305,Rockdale,Black,1,2.061
13067031004,Cobb,Hispanic,3,
13121011901,Fulton,Unknown or other,1,0.888
13135050617,Gwinnett,White,1,-0.571
13121011310,Fulton,White,1,-0.014
13113140207,Fayette,White,1,0.204
13063040204,Clayton,Black,1,0.72
13117130410,Forsyth,Unknown or other,1,2.644
13121001205,Fulton,White,1,-0.692
13089021412,DeKalb,White,1,-0.695
13067030348,Cobb,Black,1,-0.75
13097080204,Douglas,Black,1,-0.655
13121006900,Fulton,White,1,-0.961
13067031101,Cobb,White,1,-0.711
13097080307,Douglas,Asian,1,0.093
13135050549,Gwinnett,Asian,1,-0.312
13067030236,Cobb,White,1,0.398
13135050744,Gwinnett,Black,3,
